	CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:3:3:3:0:ZHONGLI_2_E	Beginning/Intermediate	8	5	0	0
2016:3:3:3:0:ZHUBEI_1_S	gaoji	5	5	1	2
2016:3:3:3:0:ZHUBEI_2_E	初級	8	4	1	0
2016:3:3:3:0:ZHUBEI_2_S	intermediate	8	8	3	1
2016:3:3:3:0:ZHUDONG_E	adv	6	6	1	0
2016:3:3:3:0:ZHUNAN_ZL	zhongjiban	7	7	2	2
2016:3:3:3:0:ANKANG_E	beginner	7	1	1	0
2016:3:3:3:1:BADE_A_E	高	3	0	1	0
2016:3:3:3:1:BEITOU_E	CHILD	6	6	1	0
2016:3:3:3:1:DANFENG_E	Begin	6	5	2	3
2016:3:3:3:0:JILONG_A_E	Intermediate	9	7	0	0
