	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:3:2:7:TAIDONG_1_3	1	0	6	7	1	0	16	6	17	12	0	25
2016:3:2:7:TAIDONG_2	0	1	6	5	0	0	12	12	16	9	0	23
2016:3:2:7:TAOYUAN_1_2	0	2	6	5	0	0	13	8	25	10	1	32
2016:3:2:7:TAOYUAN_3	0	0	3	7	0	0	24	5	18	23	6	47
2016:3:2:7:TOUFEN_MIAOLI	0	1	3	3	0	0	11	3	14	8	1	22
2016:3:2:7:TUCHENG	0	0	9	11	0	0	22	8	27	23	2	40
2016:3:2:7:XINAN	0	6	14	14	1	0	41	12	28	26	2	53
2016:3:2:7:XINDIAN	0	1	10	5	1	0	12	10	27	15	2	25
2016:3:2:7:XINZHU	0	2	7	7	0	1	18	11	24	16	0	37
2016:3:2:7:XINZHUANG	0	0	3	4	0	1	7	2	13	6	3	18
2016:3:2:7:XIZHI	0	0	3	6	0	0	13	5	20	13	1	33
2016:3:2:7:YILAN	0	0	3	15	0	0	26	10	39	17	1	28
2016:3:2:7:YULI	0	0	3	5	0	0	8	0	6	9	0	34
2016:3:2:7:ZHONGLI	0	1	4	4	1	1	18	5	18	4	0	15
2016:3:2:7:ZHUBEI	0	0	3	1	0	0	6	3	21	10	0	24
2016:3:2:7:ZHUDONG	0	0	3	3	0	0	6	0	9	4	0	12
2016:3:2:7:ZHUNAN	0	1	7	10	0	1	22	7	25	8	3	25
2016:3:3:7:BADE	0	0	3	8	0	0	17	11	27	18	2	20
2016:3:3:7:BANQIAO	1	1	3	3	0	0	12	9	9	13	1	21
2016:3:3:7:BEITOU	0	3	4	9	1	0	23	8	30	19	1	43
2016:3:3:7:HUALIAN	0	0	4	8	0	0	19	6	15	24	0	29
2016:3:3:7:JIAN	0	0	8	6	0	0	19	3	26	23	0	50
2016:3:3:7:JILONG	1	0	4	9	0	0	14	5	19	6	1	11
2016:3:3:7:JINGXIN	1	1	2	15	2	0	26	8	31	28	2	39
2016:3:3:7:JINHUA	0	0	3	8	0	1	14	2	16	20	0	62
2016:3:3:7:SANCHONG	0	0	7	11	0	0	25	7	37	16	1	30
2016:3:3:7:SHILIN	0	1	2	6	0	0	20	14	28	29	2	63
2016:3:3:7:SHUANGHE	0	1	7	12	1	0	25	10	28	22	0	48
2016:3:3:7:SONGSHAN	0	0	7	18	0	0	27	10	31	27	0	26
2016:3:3:7:TAIDONG_1_3	1	0	6	8	1	1	17	7	17	11	0	22
2016:3:3:7:TAIDONG_2	1	1	5	4	1	0	12	12	21	7	0	18
2016:3:3:7:TAOYUAN_1_2	0	1	7	8	0	0	16	11	28	20	4	36
2016:3:3:7:TAOYUAN_3	0	0	3	10	0	0	29	10	26	27	1	42
2016:3:3:7:TOUFEN_MIAOLI	1	2	1	2	3	0	6	5	18	6	0	19
2016:3:3:7:TUCHENG	0	0	8	14	0	0	28	8	40	31	1	41
2016:3:3:7:UNKNOWN	2	2	15	41	2	0	75	29	83	63	3	108
2016:3:3:7:XINAN	2	3	7	9	1	1	36	14	32	28	6	52
2016:3:3:7:XINDIAN	0	1	6	3	1	0	10	3	20	9	1	25
2016:3:3:7:XINZHU	1	1	6	8	1	0	19	7	24	27	1	57
2016:3:3:7:XINZHUANG	0	0	10	2	0	0	14	9	19	13	3	21
2016:3:3:7:XIZHI	0	2	3	3	0	0	10	3	15	17	1	41
2016:3:3:7:YILAN	0	0	9	15	1	0	34	5	32	21	1	39
2016:3:3:7:YULI	0	0	3	5	0	0	8	3	7	7	0	26
2016:3:3:7:ZHONGLI	0	0	4	4	0	1	14	5	21	10	0	29
2016:3:3:7:ZHUBEI	0	2	4	4	1	0	10	8	28	18	1	24
2016:3:3:7:ZHUDONG	0	1	0	4	0	0	6	10	9	8	0	17
2016:3:3:7:ZHUNAN	0	0	8	12	1	0	21	9	30	17	0	31
2016:3:4:7:BADE	0	0	2	12	0	0	16	6	29	10	2	18
2016:3:4:7:BANQIAO	1	1	3	3	1	0	8	6	11	21	3	16
2016:3:4:7:BEITOU	0	2	6	9	1	1	23	10	29	20	1	49
2016:3:4:7:HUALIAN	0	0	0	4	0	0	8	3	18	13	1	24
2016:3:4:7:JIAN	0	1	7	12	1	0	25	9	31	28	1	48
2016:3:4:7:JILONG	1	0	3	10	1	0	15	7	23	8	2	8
2016:3:4:7:JINGXIN	0	0	6	14	0	2	23	10	40	14	2	26
2016:3:4:7:JINHUA	0	0	5	9	0	0	20	4	24	22	0	64
2016:3:4:7:SANCHONG	0	0	10	10	0	0	23	13	31	20	1	34
2016:3:4:7:SHILIN	0	1	4	12	0	0	29	9	36	23	4	57
2016:3:4:7:SHUANGHE	0	1	6	9	2	0	25	11	32	15	0	44
2016:3:4:7:SONGSHAN	0	0	7	20	0	0	33	11	34	19	3	33
2016:3:4:7:TAIDONG_1_3	1	1	8	5	2	0	17	12	30	16	1	27
2016:3:4:7:TAIDONG_2	1	0	6	6	1	2	14	9	15	5	2	11
2016:3:4:7:TAOYUAN_1_2	1	0	8	11	1	0	20	16	33	9	4	36
2016:3:4:7:TAOYUAN_3	0	0	5	8	0	0	28	10	22	34	1	51
2016:3:4:7:TOUFEN_MIAOLI	0	1	1	2	1	2	5	6	16	7	0	13
2016:3:4:7:TUCHENG	0	0	8	18	0	0	36	9	35	18	3	32
2016:3:4:7:XINAN	0	3	7	8	0	1	26	11	25	23	3	53
2016:3:4:7:XINDIAN	0	0	7	7	0	1	14	7	25	7	4	23
2016:3:4:7:XINZHU	2	1	5	5	2	0	25	14	22	39	3	74
2016:3:4:7:XINZHUANG	2	0	6	2	3	0	10	8	17	4	1	10
2016:3:4:7:XIZHI	0	2	3	6	2	0	14	5	22	20	1	26
2016:3:4:7:YILAN	0	1	9	16	1	1	35	4	31	9	0	52
2016:3:4:7:YULI	0	0	4	4	0	0	8	2	5	4	0	29
2016:3:4:7:ZHONGLI	0	1	4	8	1	0	19	15	25	21	0	19
2016:3:4:7:ZHUBEI	0	2	4	2	0	1	8	8	24	16	1	23
2016:3:4:7:ZHUDONG	0	1	4	3	0	0	12	7	10	7	0	8
2016:3:4:7:ZHUNAN	0	1	7	10	1	0	19	9	29	25	1	22
