	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:2:2:7:ZHUBEI_1	0	1	1	3	0	0	5	1	3	5	0	7
2016:2:2:7:ZHUBEI_2	1	1	0	2	1	0	4	1	10	4	1	13
2016:2:2:7:ZHUBEI_3	0	0	4	4	0	0	8	4	4	2	0	8
2016:2:2:7:ZHUDONG	1	0	2	4	1	0	7	3	17	3	2	10
2016:2:2:7:ZHUNAN	0	1	1	0	1	1	3	2	14	6	3	19
2016:2:3:7:ANKANG	0	1	1	3	1	0	6	6	6	3	0	7
2016:2:3:7:BADE	0	0	3	8	0	1	14	10	21	17	0	9
2016:2:3:7:BEITOU	0	0	3	2	0	0	8	7	14	15	0	24
2016:2:3:7:DANFENG	0	1	3	1	0	0	5	3	7	1	0	2
2016:2:3:7:DANSHUI	2	3	1	2	0	0	10	2	18	7	0	11
2016:2:3:7:GUISHAN	0	0	1	1	0	0	3	3	8	9	0	14
2016:2:3:7:HUALIAN_1	0	1	2	6	0	2	13	4	15	9	0	35
2016:2:3:7:HUALIAN_2	0	1	3	1	1	0	10	5	7	10	0	13
2016:2:3:7:HUALIAN_3	1	0	5	8	0	0	17	1	17	21	1	31
2016:2:3:7:JILONG	0	0	2	11	0	1	13	6	18	8	0	15
2016:2:3:7:JINGXIN	0	1	3	3	1	0	12	5	21	10	0	15
2016:2:3:7:JINHUA	1	1	4	9	1	1	24	13	30	16	2	35
2016:2:3:7:LONGTAN	0	0	0	2	0	0	4	0	4	2	0	5
2016:2:3:7:LUZHOU	0	0	2	5	0	0	11	2	15	15	3	30
2016:2:3:7:MIAOLI	0	2	0	2	0	0	5	5	19	5	0	9
2016:2:3:7:MUZHA	1	1	1	8	1	1	16	7	16	17	0	25
2016:2:3:7:NEIHU	0	0	3	3	0	0	6	1	8	8	0	14
2016:2:3:7:SANCHONG	0	0	2	2	1	0	8	1	17	10	1	15
2016:2:3:7:SANXIA	0	0	2	9	0	0	13	7	14	14	1	19
2016:2:3:7:SHILIN	0	0	0	1	0	0	10	1	7	14	0	23
2016:2:3:7:SIYUAN	0	0	1	1	0	0	3	0	5	3	0	11
2016:2:3:7:SONGSHAN	0	0	8	6	0	0	16	7	23	13	0	19
2016:2:3:7:TAIDONG_1	0	0	2	1	0	0	5	3	11	11	0	28
2016:2:3:7:TAIDONG_2	0	0	7	4	1	1	11	3	21	7	0	21
2016:2:3:7:TAIDONG_3	0	2	3	0	1	0	6	4	5	3	0	13
2016:2:3:7:TAOYUAN_1	0	2	1	0	1	0	3	4	9	4	0	9
2016:2:3:7:TAOYUAN_2	0	0	3	0	0	0	10	1	8	15	0	26
2016:2:3:7:TAOYUAN_3	0	0	1	7	0	0	10	3	11	14	0	17
2016:2:3:7:TAOYUAN_4	0	0	2	7	0	0	11	5	17	10	0	24
2016:2:3:7:TIANMU	0	0	0	0	0	0	0	0	1	1	0	8
2016:2:3:7:TOUFEN	0	0	3	2	0	0	5	3	7	6	1	14
2016:2:3:7:TUCHENG	0	0	3	7	0	1	18	6	21	19	1	18
2016:2:3:7:WANDA	0	1	2	6	1	0	15	5	24	8	1	36
2016:2:3:7:XIANGSHAN	0	1	0	2	0	0	5	1	9	15	0	46
2016:2:3:7:XINAN	0	0	14	13	0	0	35	8	16	14	3	36
2016:2:3:7:XINBAN	0	1	1	4	0	1	11	5	13	6	2	16
2016:2:3:7:XINDIAN	0	0	8	4	0	1	13	5	22	13	2	19
2016:2:3:7:XINPU	1	1	4	7	2	0	18	6	13	14	4	23
2016:2:3:7:XINZHU_1	0	0	3	2	0	1	7	2	11	13	0	26
2016:2:3:7:XINZHU_3	0	1	4	9	0	0	17	8	15	12	0	20
2016:2:3:7:XIZHI	0	0	1	3	0	1	11	4	24	14	0	34
2016:2:3:7:YILAN	0	1	2	6	0	0	15	8	30	16	0	53
2016:2:3:7:YONGHE	0	0	3	0	0	0	6	5	22	7	1	19
2016:2:3:7:YULI	0	0	4	6	0	0	10	2	8	10	0	21
2016:2:3:7:ZHONGHE_1	0	0	1	0	0	0	4	1	10	4	0	7
2016:2:3:7:ZHONGHE_2	0	0	7	5	0	0	17	5	22	8	2	8
2016:2:3:7:ZHONGLI_1	0	0	3	2	0	0	19	4	17	7	2	9
2016:2:3:7:ZHONGLI_2	0	0	2	0	0	0	4	4	9	1	0	6
2016:2:3:7:ZHUBEI_1	1	0	2	3	1	0	6	3	9	5	0	10
2016:2:3:7:ZHUBEI_2	2	0	0	1	2	0	3	2	11	12	0	25
2016:2:3:7:ZHUBEI_3	0	1	1	4	1	0	6	3	11	0	0	5
2016:2:3:7:ZHUDONG	0	0	2	5	0	1	7	2	13	4	1	7
2016:2:3:7:ZHUNAN	0	1	3	0	1	0	4	2	8	3	0	12
2016:2:4:7:ANKANG	0	0	1	3	0	1	4	3	8	2	1	5
2016:2:4:7:BADE	0	2	3	9	0	0	20	7	17	20	2	29
2016:2:4:7:BEITOU	0	0	1	3	0	0	6	8	13	11	0	20
2016:2:4:7:DANFENG	0	2	2	2	1	0	6	5	8	2	1	3
