	@CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV	N_REPORTS
2016:4:4:0:TAOYUAN_3	初級	54	45	14	0	4
2016:4:4:0:TOUFEN	infant	11	7	1	0	1
2016:4:4:0:TUCHENG	 ERTONG BAN	25	20	2	0	2
2016:4:4:0:WANDA	kids	32	25	5	0	3
2016:4:4:0:XINBAN	Advanced 	50	46	14	0	2
2016:4:4:0:XINDIAN	beginner	39	31	5	3	4
2016:4:4:0:XINZHU	中級	44	35	4	0	4
2016:4:4:0:XINZHUANG	Begin	25	14	1	1	2
2016:4:4:0:XIZHI	intermediate	16	9	1	0	3
2016:4:4:0:YILAN	 beginning	26	21	5	0	3
2016:4:4:0:YULI	ADVANCED	9	7	1	0	2
2016:4:4:0:ZHONGLI	kids	32	27	5	2	3
2016:4:4:0:ZHUBEI	children	54	43	8	2	4
2016:4:4:0:ZHUDONG	advanced	21	14	5	0	2
2016:4:4:0:ZHUNAN	 gao ji ban	18	15	6	1	3
2016:5:1:0:ANKANG	child	13	11	1	0	1
2016:5:1:0:BADE	高	39	29	1	1	3
2016:5:1:0:BEITOU	CHILD	19	17	4	0	2
2016:5:1:0:DANSHUI	beginner	9	5	0	0	2
2016:5:1:0:HUALIAN	ertong	37	28	17	3	3
2016:5:1:0:JILONG	childrens	25	20	3	1	2
2016:5:1:0:LONGTAN	ADVANCED	25	23	6	0	1
2016:5:1:0:MIAOLI	intermediate	19	15	4	0	1
2016:5:1:0:MUZHA	初級班	12	8	0	0	2
2016:5:1:0:NEIHU	高級	20	16	4	0	2
2016:5:1:0:SANCHONG	advanced	38	33	6	0	3
2016:5:1:0:SANXIA	advanced	21	18	2	0	2
2016:5:1:0:SHILIN	ADVANCED	32	26	3	0	3
2016:5:1:0:SHUANGHE	Children 	55	46	12	2	4
2016:5:1:0:SONGSHAN	中	24	17	4	6	2
2016:5:1:0:TAIDONG	BEGINNER	38	29	9	1	4
2016:5:1:0:TAOYUAN_1_2	advanced	35	20	3	0	4
2016:5:1:0:TAOYUAN_3	初級班	56	50	12	8	4
2016:5:1:0:TOUFEN	至高級	19	11	8	3	1
2016:5:1:0:TUCHENG	 ZHONGJI	23	17	5	3	2
2016:5:1:0:WANDA	ZHONGJI	12	22	4	0	2
2016:5:1:0:XINBAN	Intermediate  	42	38	13	2	2
2016:5:1:0:XINDIAN	little kids	30	23	6	6	3
2016:5:1:0:XINZHU	初級	17	14	1	0	2
2016:5:1:0:XINZHUANG	Begin	24	23	6	2	2
2016:5:1:0:XIZHI	INTERMEDIATE	25	15	4	1	3
2016:5:1:0:YILAN	 beginning	40	37	14	2	3
2016:5:1:0:YULI	CHILD	7	7	1	1	2
2016:5:1:0:ZHONGLI	children	39	36	12	1	3
2016:5:1:0:ZHUBEI	children	37	28	4	0	3
2016:5:1:0:ZHUDONG	 adv.	17	16	6	2	2
2016:5:1:0:ZHUNAN	 beginner	0	0	0	0 cancelled because we weren't able to get back from zone conference 	1
2016:5:2:0:ANKANG	intermediate	17	11	0	1	1
2016:5:2:0:BADE	中	35	19	3	1	3
2016:5:2:0:BEITOU	CHILD	25	23	7	1	2
2016:5:2:0:DANSHUI	 Beginner	7	5	1	1	2
2016:5:2:0:HUALIAN	ERTONG	48	39	16	2	3
2016:5:2:0:JILONG	childrens	26	20	4	1	2
2016:5:2:0:LONGTAN	ADVANCED	27	21	6	0	1
2016:5:2:0:MIAOLI	children	12	3	1	0	1
2016:5:2:0:MUZHA	初級	17	14	3	2	2
2016:5:2:0:NEIHU	高級	23	21	7	2	2
2016:5:2:0:SANCHONG	zhong 	51	47	3	1	4
2016:5:2:0:SANXIA	advanced	18	11	3	0	2
2016:5:2:0:SHILIN	CHILDRENS	27	25	4	0	2
2016:5:2:0:SHUANGHE	Children 	55	49	13	2	4
2016:5:2:0:SONGSHAN	BEGINNER AND INTERMEDIATE 	49	40	6	0	2
2016:5:2:0:TAIDONG	Beginner	26	21	3	1	4
2016:5:2:0:TAOYUAN_1_2	ADVANCED	49	32	9	1	4
2016:5:2:0:TAOYUAN_3	初級	60	49	19	3	4
2016:5:2:0:TOUFEN	高級	17	11	3	0	1
2016:5:2:0:TUCHENG	 CHUJI	31	25	9	0	2
2016:5:2:0:WANDA	kids	46	38	9	1	3
2016:5:2:0:XINBAN	高級班	49	45	17	2	2
2016:5:2:0:XINDIAN	little kids	36	30	4	1	4
2016:5:2:0:XINZHU	中級	51	41	10	3	4
2016:5:2:0:XINZHUANG	Begin	40	38	14	5	2
2016:5:2:0:XIZHI	Intermediate	20	19	9	1	3
2016:5:2:0:YILAN	 beginning	31	28	6	3	3
2016:5:2:0:YULI	 BEGINNER 	11	10	0	1	1
2016:5:2:0:ZHONGLI	CHILDREN	42	33	8	2	3
2016:5:2:0:ZHUBEI	children	42	29	5	3	4
2016:5:2:0:ZHUDONG	adv	10	8	4	1	2
2016:5:2:0:ZHUNAN	 gao/zhong ji ban 	26	21	8	1	3
2016:5:3:0:ANKANG	child	17	13	3	0	1
2016:5:3:0:BADE	中	48	27	12	0	3
2016:5:3:0:BEITOU	CHILD	28	24	5	2	2
2016:5:3:0:DANSHUI	 beginner	11	8	0	0	2
2016:5:3:0:HUALIAN	初級	27	23	6	3	3
2016:5:3:0:JILONG	beginner	26	21	4	0	2
2016:5:3:0:LONGTAN	ADVANCED	27	22	10	0	1
2016:5:3:0:MIAOLI	intermediate	9	6	0	1	1
2016:5:3:0:MUZHA	Beginning	16	12	4	1	2
2016:5:3:0:NEIHU	高級	21	15	1	1	2
2016:5:3:0:SANCHONG	中級	57	50	13	4	4
2016:5:3:0:SANXIA	advanced	20	14	1	3	2
2016:5:3:0:SHILIN	advanced	38	35	5	2	3
2016:5:3:0:SHUANGHE	CHILDREN	53	48	6	3	4
2016:5:3:0:SONGSHAN	 BEGINNERS	28	25	5	1	2
2016:5:3:0:TAIDONG	BEGINNER	31	18	6	0	4
2016:5:3:0:TAOYUAN_1_2	高級	55	40	10	1	4
2016:5:3:0:TAOYUAN_3	 beginner	73	62	20	5	3
2016:5:3:0:TOUFEN	高級 	25	18	5	1	1
2016:5:3:0:TUCHENG	 ZHONGJI	41	34	13	2	2
2016:5:3:0:WANDA	kid	44	36	10	3	3
2016:5:3:0:XINBAN	BEGINNER 	43	38	11	0	2
2016:5:3:0:XINDIAN	little kid	35	22	0	0	4
2016:5:3:0:XINZHU	中	40	34	14	1	4
2016:5:3:0:XINZHUANG	Begin	40	38	8	2	2
2016:5:3:0:XIZHI	intermediate	34	27	8	0	3
2016:5:3:0:YILAN	 beginner	34	31	4	0	4
2016:5:3:0:YULI	ADVANCED 	23	20	17	5	2
2016:5:3:0:ZHONGLI	children	46	41	15	3	3
2016:5:3:0:ZHUBEI	children	51	39	11	0	4
2016:5:3:0:ZHUDONG	adv	25	20	9	1	2
2016:5:3:0:ZHUNAN	gao ji ban 	27	19	2	0	3
2016:5:4:0:ANKANG	child	19	15	4	1	2
2016:5:4:0:BADE	高	46	34	3	4	4
2016:5:4:0:BEITOU	BEGINNER	28	22	1	0	4
2016:5:4:0:DANSHUI	 Beginner	14	7	4	2	2
2016:5:4:0:HUALIAN	兒童辦	30	24	8	0	2
2016:5:4:0:JILONG	children	25	18	2	0	4
2016:5:4:0:LONGTAN	intermediate	22	20	3	0	2
2016:5:4:0:MIAOLI	intermediate	17	11	0	1	2
2016:5:4:0:MUZHA	Advanced	17	11	4	0	3
2016:5:4:0:NEIHU	高級	23	17	5	2	3
2016:5:4:0:SANCHONG	 children	33	31	8	0	2
2016:5:4:0:SANXIA	beginners	22	21	3	0	4
2016:5:4:0:SHILIN	ADVANCED	48	41	10	1	4
2016:5:4:0:SHUANGHE	CHILDRENS	59	54	8	4	4
2016:5:4:0:SONGSHAN	Intermediate	35	29	6	3	3
2016:5:4:0:TAIDONG	beginner	38	32	6	2	4
2016:5:4:0:TAOYUAN_1_2	advanced	46	28	2	0	4
2016:5:4:0:TAOYUAN_3	beginner	75	55	17	2	4
2016:5:4:0:TOUFEN	Child	15	12	2	0	2
2016:5:4:0:TUCHENG	ZHONGJI	30	26	4	2	4
2016:5:4:0:WANDA	kids	38	32	5	0	3
2016:5:4:0:XINBAN	advanced	13	12	1	0	2
2016:5:4:0:XINDIAN	little kid	39	26	5	0	4
2016:5:4:0:XINZHU	中	58	46	17	4	4
2016:5:4:0:XINZHUANG	Begin	36	33	4	2	3
