	CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:3:5:3:0:JINHUA	thelittlekids	23	17	4	1
2016:3:5:3:0:SANCHONG	高級	34	28	2	1
2016:3:5:3:0:SHILIN	kids	30	23	10	0
2016:3:5:3:0:SHUANGHE	child	58	53	11	1
2016:3:5:3:0:SONGSHAN	adv	53	41	9	1
2016:3:5:3:0:TAIDONG_1_3	begginer	27	20	6	0
2016:3:5:3:0:TAIDONG_2	advanced	7	6	1	0
2016:3:5:3:0:TAOYUAN_1_2	Advanced	42	32	1	2
2016:3:5:3:0:TAOYUAN_3	兒童班	12	4	2	1
2016:3:5:3:0:TOUFEN_MIAOLI	Zhongji	0	5	0	1
2016:3:5:3:0:TUCHENG	beginners	32	26	7	0
2016:3:5:3:0:XINAN	intermediate	25	21	9	1
2016:3:5:3:0:XINDIAN	child	43	31	12	2
2016:3:5:3:0:XINZHU	0	60	48	18	1
2016:3:5:3:0:XINZHUANG	Begin	30	29	6	2
2016:3:5:3:0:XIZHI	INTERMEDIATE	18	14	10	0
2016:3:5:3:0:YILAN	beginning	22	18	6	3
2016:3:5:3:0:YULI	ADVANCED	6	6	2	1
2016:3:5:3:0:ZHONGLI	beginner	36	26	12	2
2016:3:5:3:0:ZHUBEI	gaoji	32	18	10	2
2016:3:5:3:0:ZHUDONG	adv	13	11	3	0
2016:3:5:3:0:ZHUNAN	gaojiban	16	7	3	0
2016:3:5:3:1:TAOYUAN_3	gaoji	40	29	4	3
2016:3:5:3:1:TOUFEN_MIAOLI	intermediate	9	11	0	1
